audio1|now what |now what 
audio2|hear words like that does he now so why this holiday bothers you so much the whole of february and actually most of january you have to walk |hear words like that does he now so why this holiday bothers you so much the whole of february and actually most of january you have to walk 
audio3|the stores looking at all those loved up cut holes looking a little chocolates together point have gifts that they might like all those smooth |the stores looking at all those loved up cut holes looking a little chocolates together point have gifts that they might like all those smooth 
audio4|cutesy cards and giant teddy bears and all these ways in which people who are coupled up like you're not might perhaps you've never |cutesy cards and giant teddy bears and all these ways in which people who are coupled up like you're not might perhaps you've never
audio5|then perhaps you never will be all those people get to show their love for each other get to show their affection for each other |then perhaps you never will be all those people get to show their love for each other get to show their affection for each other
audio6|oh and just really hits home that that's not a part of your life doesn't it now you know that on valentine's day all of your taken |oh and just really hits home that that's not a part of your life doesn't it now you know that on valentine's day all of your taken
audio7|friends are in gonna be fucking each other senseless and going to be out dining somewhere fun perhaps going to a party going to a club going to up |friends are in gonna be fucking each other senseless and going to be out dining somewhere fun perhaps going to a party going to a club going to up
audio8|couples event this going to be so cute this is going to be so much love so much kissing so much making out so much fun so much dancing and none of it |couples event this going to be so cute this is going to be so much love so much kissing so much making out so much fun so much dancing and none of it
audio9|is for you so perhaps instead i should wish you happy singles awareness day right thats what you like to think of this holiday |is for you so perhaps instead i should wish you happy singles awareness day right thats what you like to think of this holiday
audio10|there's really gets to you really pisses you off you hate this holiday because it reminds you of how dawn single you are |there's really gets to you really pisses you off you hate this holiday because it reminds you of how dawn single you are 
audio11|but you see i don't think that applies to either i think you're actually lower than the low when it comes to this loser |but you see i don't think that applies to either i think you're actually lower than the low when it comes to this loser 
audio12|let me explain a little bit as you inevitably tug yourself to my outfit you see in modern society today you really don't have to be |let me explain a little bit as you inevitably tug yourself to my outfit you see in modern society today you really don't have to be 
audio13|worried about being single on valentine's day that's not really the problem there's this new thing called gallon times where you know girlfriends can get together |worried about being single on valentine's day that's not really the problem there's this new thing called gallon times where you know girlfriends can get together 
audio14|there enough they're single they cannot just go out and might try and find some hot guys for the night or get together and like how little bit of wine or binge watch the t v |there enough they're single they cannot just go out and might try and find some hot guys for the night or get together and like how little bit of wine or binge watch the t v 
audio15|have some pizza or whatever same kind of thing with friends a group of friends you know what that's like right perhaps not have |have some pizza or whatever same kind of thing with friends a group of friends you know what that's like right perhaps not have 
audio16|that palin times where you know group of friends get together they'll do like a pot luck the little watch a movie or been watching t v show or place board |that palin times where you know group of friends get together they'll do like a pot luck the little watch a movie or been watching t v show or place board 
audio18|pretty fun this actually was a club events as a bars loads of fun things for people who are not like you |pretty fun this actually was a club events as a bars loads of fun things for people who are not like you 
audio19|the not coupled up and even though you're single probably you're a loser today is actually lose our awareness |the not coupled up and even though you're single probably you're a loser today is actually lose our awareness 
audio20|they because if you're single it doesn't matter you can go to any one of those events if you have friends if you're not fucking socially awkward |they because if you're single it doesn't matter you can go to any one of those events if you have friends if you're not fucking socially awkward 
audio21|if you can take the time of your day if you compare to pull yourself away from the computer like you said in front of right now and take your hand off your fucking |if you can take the time of your day if you compare to pull yourself away from the computer like you said in front of right now and take your hand off your fucking 
audio22|dick but you cant can you loser this is really what you prefer to be doing today this is really you're happy place this is |dick but you cant can you loser this is really what you prefer to be doing today this is really you're happy place this is 
audio23|really exactly what you love to do best go to a bar crawl for power times fuck no jerk jerk jerk |really exactly what you love to do best go to a bar crawl for power times fuck no jerk jerk jerk 
audio25|hell no because you know that your are a premature ejaculater of a teeny weeny a virgin loser who has no chance of getting |hell no because you know that your are a premature ejaculater of a teeny weeny a virgin loser who has no chance of getting 
audio26|they anyway just fucking socially inept knowing about all those fucked up kinks that a swirling around your had just sat there and your fucking or speed dating |they anyway just fucking socially inept knowing about all those fucked up kinks that a swirling around your had just sat there and your fucking or speed dating 
audio27|shit ah someone's think thinking were going to me a normal guy and there's you sat across the table from them knowing that those humiliating |shit ah someone's think thinking were going to me a normal guy and there's you sat across the table from them knowing that those humiliating 
audio28|patient that shares are racing through your head your foot fetishes knowing that all the ways that miss London Lix fucked you up over the years it just |patient that shares are racing through your head your foot fetishes knowing that all the ways that miss London Lix fucked you up over the years it just 
audio29|come crawling back on that first date so you my friends my friends are exactly where you |come crawling back on that first date so you my friends my friends are exactly where you 
